RefCode;Author;Year;Type;Reference;BatVouchers;FlyVouchers;AssociatedReferences;;;;;;;;;;;;;;;;;
BFR066;Kamani et al.;2014;Article;Kamani, J., G. Baneth, M. Mitchell, K. Y. Mumcuoglu, R. Gutiérrez, and S. Harrus. 2014. Bartonella Species in Bats (Chiroptera) and Bat Flies (Nycteribiidae) from Nigeria, West Africa. Vector-Borne and Zoonotic Diseases 14:625–632.;NA;NA;;;;;;;;;;;;;;;;;;
BFR067;Kim et al.;2012;Article;Kim, H. C., S. H. Han, C. W. Dick, Y. G. Choi, S. T. Chong, T. A. Klein, and L. M. Rueda. 2012. Geographical distribution of bat flies (Diptera: Nycteribiidae and Streblidae), including two new records, Nycteribia allotopa and N. formosana , collected from bats (Chiroptera: Rhinolophidae and Vespertilionidae) in the Republic of Korea. Journal of Vector Ecology 37:333–337.;Field museum of Natural History, Chicago;Field museum of Natural History, Chicago;;;;;;;;;;;;;;;;;;
BFR068;Komeno & Linhares;1999;Article;Komeno, C. A., and A. X. Linhares. 1999. Batflies Parasitic on Some Phyllostomid Bats in Southeastern Brazil: Parasitism Rates and Host-parasite Relationships. Memórias do Instituto Oswaldo Cruz 94:151–156.;Department of Zoology, Unesp, São José do Rio Preto, SP, Brazil;Museu de História Natural - Campinas State University”,Campinas, SP, Brazil.;;;;;;;;;;;;;;;;;;
BFR069;Krasnov et al.;2020;Article;Krasnov, B. R., K. Junker, S. Wood, E. A. Ueckermann, G. J. Venter, L. van der Mescht, H. Heyne, and D. S. Jacobs. 2020. Compositional turnover in ecto- and endoparasite assemblages of an African bat, Miniopterus natalensis (Chiroptera, Miniopteridae): effects of hierarchical scale and host sex. Parasitology 147:1728–1742.;NA;NA;;;;;;;;;;;;;;;;;;
BFR070;Kurta et al.;2007;Article;Kurta, A., J. O. Whitaker, W. J. Wrenn, and J. A. Soto-centeno. 2007. Ectoparasitic Assemblages on Mormoopid Bats (Chiroptera: Mormoopidae) from Puerto Rico. Journal of Medical Entomology 44:953–958.;NA;NA;;;;;;;;;;;;;;;;;;
BFR071;Lee et al.;2021;Article;Lee, H., M.-G. Seo, S.-H. Lee, J.-K. Oem, S.-H. Kim, H. Jeong, Y. Kim, W.-H. Jheong, O.-D. Kwon, and D. Kwak. 2021. Relationship among bats, parasitic bat flies, and associated pathogens in Korea. Parasites & Vectors 14:503.;NA;NA;;;;;;;;;;;;;;;;;;
BFR072;Lim et al.;2020;Article;Lim, Z. X., A. T. Hitch, B. P. Y.-H. Lee, D. H. W. Low, E. S. Neves, S. A. Borthwick, G. J. D. Smith, and I. H. Mendenhall. 2020. Ecology of bat flies in Singapore: A study on the diversity, infestation bias and host specificity (Diptera: Nycteribiidae). International Journal for Parasitology: Parasites and Wildlife 12:29–33.;NA;NA;;;;;;;;;;;;;;;;;;
BFR073;Lindecke & Scheffler;2011;Article;Lindecke, O., and I. Scheffler. 2011. Zur Ektoparasitenfauna der Fledermäuse in Sachsen-Anhalt. Hercynia 44:241–251.;NA;NA;;;;;;;;;;;;;;;;;;
BFR074;Lira-Olguin et al.;2021;Article;Lira-Olguin, A. Z., C. Guzmán-Cornejo, and L. León-Paniagua. 2021. Bat flies (Diptera: Streblidae) associated with phyllostomid bats (Chiroptera: Phyllostomidae) in caves in Mexico. Studies on Neotropical Fauna and Environment 56:163–175.;Colección de Mamíferos Museo de Zoología (MZFC) at Facultad de Ciencias, Universidad Nacional Autonoma de Mexico (UNAM);Colección del Laboratorio de Acarología  (LAFC) Facultad de Ciencias, Universidad Nacional Autonoma de Mexico (UNAM);;;;;;;;;;;;;;;;;;
BFR075;Lourenço & Esbérard;2011;Article;Lourenço, E. C., and C. E. L. Esbérard. 2011. Reinfestation of Streblidae ectoparasites (Diptera) in Carollia perspicillata (Linnaeus, 1758) (Chiroptera). Revista Brasileira de Parasitologia Veterinária 20:325–330.;NA;reference collection of the Bat Diversity Laboratory of the Federal Rural University of Rio de Janeiro;;;;;;;;;;;;;;;;;;
BFR076;Lourenço et al.;2020;Article;Lourenço, E. C., L. A. C. Gomes, A. de O. Viana, and K. M. Famadas. 2020. Co-occurrence of Ectoparasites (Insecta and Arachnida) on Bats (Chiroptera) in an Atlantic Forest Remnant, Southeastern Brazil. Acta Parasitologica 65:750–759.;NA;"Zoological Reference Collection of the Federal University of Mato Grosso do Sul in Campo Grande,
Mato Grosso do Sul State, and the Acarology Collection of the Butantan Institute in São Paulo, São Paulo State, Brazil";Gomes LAC, Pires ADS, Martins MA, Lourenço EC, Peracchi AL (2015) Species composition and seasonal variation in abundance of  Phyllostomidae bats (Chiroptera) in an Atlantic Forest remnant, Southeastern Brazil. Mammalia 79(1):61–68.;;;;;;;;;;;;;;;;;
BFR077;Lourenço et al.;2014;Article;Lourenço, E. C., P. M. P. Patrício, M. da C. Pinheiro, R. M. Dias, and K. M. Famadas. 2014. Streblidae (Diptera) on bats (Chiroptera) in an area of Atlantic Forest, state of Rio de Janeiro. Revista Brasileira de Parasitologia Veterinária 23:164–170.;NA;Federal University of Mato Grosso do Sul in the city of Campo Grande, Brazil.;Patrício, P. M. P., E. C. Lourenço, A. Q. de Freitas, and K. M. Famadas. 2016. Host morphophysiological conditions and environment abiotic factors correlate with bat flies (Streblidae) prevalence and intensity in Artibeus Leach, 1821 (Phyllostomidae). Ciência Rural 46:648–653. ;;;;;;;;;;;;;;;;;
BFR078;Lourenço & Palmeirim;2008;Article;Lourenço, S., and J. M. Palmeirim. 2008. Which factors regulate the reproduction of ectoparasites of temperate-zone cave-dwelling bats? Parasitology Research 104:127–134.;NA;NA;;;;;;;;;;;;;;;;;;
BFR079;Martínez et al.;2016;Article;Martínez, M. M. R., M. P. I. Lopez, L. I. Iñiguez-Dávalos, T. Yuill, M. V. Orlova, and W. K. Reeves. 2016. New records of ectoparasitic Acari (Arachnida) and Streblidae (Diptera) from bats in Jalisco, Mexico. Journal of Vector Ecology 41:309–313.;Museum of Biological Diversity, Ohio State University, Columbus, Ohio.;Museum of Biological Diversity, Ohio State University, Columbus, Ohio.;;;;;;;;;;;;;;;;;;
BFR080;Mello et al.;2021;Article;Mello, R. M., R. S. Laurindo, L. C. Silva, M. V. Pyles, M. C. S. Mancini, W. Dáttilo, and R. Gregorin. 2021. Landscape configuration and composition shape mutualistic and antagonistic interactions among plants, bats, and ectoparasites in human-dominated tropical rainforests. Acta Oecologica 112:103769.;NA;NA;;;;;;;;;;;;;;;;;;
BFR081;Moras et al.;2013;Article;Moras, L., L. Bernardi, G. Graciolli, and R. Gregorin. 2013. Bat flies (Diptera: Streblidae, Nycteribiidae) and mites (Acari) associated with bats (Mammalia: Chiroptera) in a high-altitude region in southern Minas Gerais, Brazil. Acta Parasitologica 58:556–563.;NA;Zoological Reference Collection – Center for Biological and Health Sciences/UFMS and at the Mammal Collection of the Universidade Federal de Lavras (CMUFLA);;;;;;;;;;;;;;;;;;
BFR082;Moura et al.;2003;Article;Moura, M. O., M. O. Bordignon, and G. Graciolli. 2003. Host characteristics do not affect community structure of ectoparasites on the fishing bat Noctilio leporinus (L., 1758) (Mammalia: Chiroptera). Memórias do Instituto Oswaldo Cruz 98:811–815.;NA;Coleção de Entomologia Pe Jesus Santiago Moure, Departamento de Zoologia (DZUP), Universidade Federal do Paraná, Brazil;;;;;;;;;;;;;;;;;;
BFR083;Muñoz-Romo et al.;2011;Article;Muñoz-Romo, M., J. F. Burgos, and T. H. Kunz. 2011. The Dorsal Patch of Males of the Curaçaoan Long-Nosed bat, Leptonycteris curasoae (Phyllostomidae: Glossophaginae) as a Visual Signal. Acta Chiropterologica 13:207–215.;NA;NA;;;;;;;;;;;;;;;;;;
BFR084;Nabeshima et al.;2020;Article;Nabeshima, K., S. Sato, H. Kabeya, N. Komine, R. Nanashima, A. Takano, H. Shimoda, K. Maeda, K. Suzuki, and S. Maruyama. 2020. Detection and phylogenetic analysis of Bartonella species from bat flies on eastern bent-wing bats (Miniopterus fuliginosus) in Japan. Comparative Immunology, Microbiology and Infectious Diseases 73:101570.;NA;NA;;;;;;;;;;;;;;;;;;
BFR085;Obame-Nkoghe et al.;2016;Article;Obame-Nkoghe, J., N. Rahola, M. Bourgarel, P. Yangari, F. Prugnolle, G. D. Maganga, E.-M. Leroy, D. Fontenille, D. Ayala, and C. Paupy. 2016. Bat flies (Diptera: Nycteribiidae and Streblidae) infesting cave-dwelling bats in Gabon: diversity, dynamics and potential role in Polychromophilus melanipherus transmission. Parasites & Vectors 9:333.;NA;NA;;;;;;;;;;;;;;;;;;
BFR086;Obdianela et al.;2021;Article;Obdianela, M. C. N., M. P. V. V. Guanlao, E. V. E. Samaniego, and K. O. Pornobi. 2021. Prevalence and Host Specificity of Bat Flies (Streblidae) from Selected Caves in Unisan, Quezon, Philippines. Acta Parasitologica 66:983–988.;NA;NA;;;;;;;;;;;;;;;;;;
BFR087;Olival et al.;2013;Article;Olival, K. J., C. W. Dick, N. B. Simmons, J. C. Morales, D. J. Melnick, K. Dittmar, S. L. Perkins, P. Daszak, and R. DeSalle. 2013. Lack of population genetic structure and host specificity in the bat fly, Cyclopodia horsfieldi, across species of Pteropus bats in Southeast Asia. Parasites & Vectors 6:231.;Institute for Ecology and Biological Resources, Hanoi, Vietnam;Western Kentucky University, State University of New York at Buffalo, and the American Museum of Natural History.;;;;;;;;;;;;;;;;;;
BFR088;Orlova et al.;2013;Article;Orlova, M. V., O. L. Orlov, S. V. Kruskop, and K. A. Bernikov. 2013. Possibilities for identification of cryptic species of Chiroptera using host-specific ectoparasites. Biology Bulletin 40:111–113.;NA;Zoological Museum, Institute of Plant and Animal Ecology, Ural Branch, Russian Academy of Sciences, and the Kulak Zoological Museum, Surgut State University.;;;;;;;;;;;;;;;;;;
BFR089;Orlova et al.;2020;Article;Orlova, M. V., D. G. Smirnov, V. P. Vekhnik, A. M. Lukyanenko, and A. V. Zabashta. 2020. Ectoparasites and Pathogens of Kuhl’s Pipistrelle Pipistrellus kuhlii (Kuhl, 1817) (Chiroptera: Vespertilionidae): Our Own and Published Data Review. Russian Journal of Biological Invasions 11:348–362.;NA;museum of the Institute of Plant and Animal Ecology, Ural Branch, Russian Academy of Sciences.;;;;;;;;;;;;;;;;;;
BFR090;Sundari et al;2012;Article;Sundari, A. A., W. Bogdanowicz, D. R. Varman, G. Marimuthu, and K. E. Rajan. 2012. Ectoparasite Raymondia lobulata Infestation in Relation to the Reproductive Cycle of Its Host—the Greater False Vampire Bat Megaderma lyra. Journal of Parasitology 98:60–62.;NA;Zoological Collection of Mato Grosso de Sul Federal University, Brazil, specimen voucher ZUFMS-INS100-101;;;;;;;;;;;;;;;;;;
BFR091;Orlova;2011;Article;Orlova, M. V. 2011. Ectoparasite associations of bats from the Ural (Russia). Hystrix 22:105–110.;NA;NA;;;;;;;;;;;;;;;;;;
BFR092;Orta-Pineda et al.;2019;Article;Orta-Pineda, G., V. M. Rodríguez-Valencia, O. Rico-Chávez, D. F. Zamora-Bárcenas, Á. Rodríguez-Moreno, G. Montiel-Parra, M. Arenas-Montaño, F. A. Galindo-Maldonado, G. Suzán-Azpiri, and R. Ojeda-Flores. 2019. Composición de comunidades y filoespecificidad de ectoparásitos de murciélagos en paisajes agropecuarios de Veracruz, México. Ecosistemas y Recursos Agropecuarios 7.;NA;NA;;;;;;;;;;;;;;;;;;
BFR093;Ikeda et al;2020;Article;Ikeda, P., J. Marinho Torres, L. Perles, E. C. Lourenço, H. M. Herrera, C. E. de Oliveira, R. Zacarias Machado, and M. R. André. 2020. Intra- and Inter-Host Assessment of Bartonella Diversity with Focus on Non-Hematophagous Bats and Associated Ectoparasites from Brazil. Microorganisms 8:1822;NA;NA;;;;;;;;;;;;;;;;;;
BFR094;Palheta et al.;2020;Article;Palheta, L. R., G. L. Urbieta, L. S. Brasil, K. Dias-Silva, J. B. Da Silva, G. Graciolli, L. M. S. Aguiar, and T. B. Vieira. 2020. The Effect of Urbanization on Bats and Communities of Bat Flies (Diptera: Nycteribiidae and Streblidae) in the Amazon, Northern Brazil. Acta Chiropterologica 22:403–416.;collection of the ChiroXingu, conservation and ecology of bat study group, located in the Ichthyology Laboratory of Altamira – LIA at the Federal University of Pará (UFPA).;NA;;;;;;;;;;;;;;;;;;
BFR095;Masson;1989;Article;Masson, D. 1989. Sur l’infestation de Myotis nattereri (Kuhl, 1818) (Chiroptera, Vespertilionidae) par Basilia nattereri (Kolenati, 1857) (Diptera, Nycteribiidae) dans le Sud-Ouest de la France. Annales de Parasitologie Humaine et Comparée 64:64–71.;NA;NA;;;;;;;;;;;;;;;;;;
BFR096;Pearce & O'Shea;2007;Article;Pearce, R. D., and T. J. O’Shea. 2007. ECTOPARASITES IN AN URBAN POPULATION OF BIG BROWN BATS (EPTESICUS FUSCUS) IN COLORADO. Journal of Parasitology 93:518–530.;NA;NA;;;;;;;;;;;;;;;;;;
BFR097;Rajeminson et al.;2017;Article;Rajemison, F. I., O. S. N. Lalarivoniaina, A. Andrianarimisa, and S. M. Goodman. 2017. Host-Parasite Relationships between a Malagasy Fruit Bat (Pteropodidae) and Associated Bat Fly (Diptera: Nycteribiidae): Seasonal Variation of Host Body Condition and the Possible Impact of Parasite Abundance. Acta Chiropterologica 19:229–238.;NA;NA;;;;;;;;;;;;;;;;;;
BFR098;Ramalho et al.;2021;Article;Ramalho, D. F., U. M. Diniz, and L. M. S. Aguiar. 2021. Anthropization Affects the Assembly of Bat-Bat Fly Interaction Networks. Frontiers in Environmental Science 9.;NA;NA;;;;;;;;;;;;;;;;;;
BFR099;Ramírez-Martinez et al.;2021;Article;Ramírez-Martínez, M. M., A. J. Bennett, C. D. Dunn, T. M. Yuill, and T. L. Goldberg. 2021. Bat Flies of the Family Streblidae (Diptera: Hippoboscoidea) Host Relatives of Medically and Agriculturally Important “Bat-Associated” Viruses. Viruses 13:860.;NA;Ohio Museum of Biological Diversity, Columbus, OH;;;;;;;;;;;;;;;;;;
BFR100;Reeves et al.;2016;Article;Reeves, W. K., J. Beck, M. V. Orlova, J. L. Daly, K. Pippin, F. Revan, and A. D. Loftis. 2016. Ecology of Bats, Their Ectoparasites, and Associated Pathogens on Saint Kitts Island. Journal of Medical Entomology 53:1218–1225.;NA;NA;;;;;;;;;;;;;;;;;;
BFR101;Ribas et al.;2020;Article;Ribas, M. R., S. C. Batista, and J. M. R. Aranha. 2020. Occurrence and infestation rates of Streblidae (Diptera, Hippoboscoidea) on bats (Mammalia, Chiroptera) in a semideciduous seasonal forest fragment in western Paraná, Brazil. Iheringia. Série Zoologia 110:1–8.;Museu de História Natural Capão da Imbuia, in Curitiba PR, Brazil;Padre Jesus Santiago Moure Collection of the Department of Zoology of the Universidade Federal do Paraná, Curitiba, PR, Brazil;;;;;;;;;;;;;;;;;;
BFR102;Ritzi et al.;2001;Article;Ritzi, C. M., L. K. Ammerman, M. T. Dixon, and J. V. Richerson. 2001. Bat Ectoparasites from the Trans-Pecos Region of Texas, Including Notes from Big Bend National Park. Journal of Medical Entomology 38:400–404.;Vertebrate Collection at Indiana State University;Invertebrate Collection of Sul Ross State University;;;;;;;;;;;;;;;;;;
BFR103;Rivera-Garcia et al.;2017;Article;Rivera-García, K. D., C. A. Sandoval-Ruiz, R. A. Saldaña-Vázquez, and J. E. Schondube. 2017. The effects of seasonality on host–bat fly ecological networks in a temperate mountain cave. Parasitology 144:692–697.;NA;NA;;;;;;;;;;;;;;;;;;
BFR104;Rojas et al.;2008;Article;Rojas, A., A. Jiménez, M. Vargas, M. Zumbado, and M. V. Herrero. 2008. Ectoparasites of the common vampire bat (Desmodus rotundus) in Costa Rica: Parasitism rates and biogeographic trends. Mastozoología neotropical 15:181–187.;NA;NA;;;;;;;;;;;;;;;;;;
BFR105;Salinas-Ramos et al.;2018;Article;Salinas-Ramos, V. B., A. Zaldívar-Riverón, A. Rebollo-Hernández, and L. G. Herrera-M. 2018. Seasonal variation of bat-flies (Diptera: Streblidae) in four bat species from a tropical dry forest. Mammalia 82:133–143.;NA;NA;;;;;;;;;;;;;;;;;;
BFR106;van Vuren et al.;2017;Article; van Vuren J., P., M. R. Wiley, G. Palacios, N. Storm, W. Markotter, M. Birkhead, A. Kemp, and J. T. Paweska. 2017. Isolation of a novel orthobunyavirus from bat flies (Eucampsipoda africana). Journal of General Virology 98:935–945.;NA;NA;;;;;;;;;;;;;;;;;;
BFR107;Santos et al.;2009;Article;Santos, C. L. C., P. A. Dias, F. S. Rodrigues, K. S. Lobato, L. C. Rosa, T. G. Oliveira, and J. M. M. Rebêlo. 2009. Moscas ectoparasitas (Diptera: Streblidae) de morcegos (Mammalia: Chiroptera) do Município de São Luís, MA: taxas de infestação e associações parasito-hospedeiro. Neotropical Entomology 38:595–601.;NA;Coleção de Entomologia e Vetores do Departamento de Biologia, Universidade Federal do Maranhão;;;;;;;;;;;;;;;;;;
BFR108;Santos et al.;2013;Article;Santos, C., A. Pereira, V. Bastos, G. Graciolli, and J. Rebêlo. 2013. Parasitism of ectoparasitic flies on bats in the northern Brazilian cerrado. Acta Parasitologica 58:207–214.;NA;NA;;;;;;;;;;;;;;;;;;
BFR109;Sebastian et al.;2008;Article;Sebastián Tello, J., R. D. Stevens, and C. W. Dick. 2008. Patterns of species co-occurrence and density compensation: a test for interspecific competition in bat ectoparasite infracommunities. Oikos 117:693–702.;NA;Museo de Zoología of the Pontificia Univ. Católica del Ecuador (QCAZ);;;;;;;;;;;;;;;;;;
BFR110;Seneviratne et al.;2009;Article;Seneviratne, S. S., H. C. Fernando, and P. V. Udagama-Randeniya. 2009. Host specificity in bat ectoparasites: A natural experiment. International Journal for Parasitology 39:995–1002.;NA;NA;;;;;;;;;;;;;;;;;;
BFR111;Ševčík et al.;2013;Article;Ševčík, M., P. Benda, and R. K. Lučan. 2013. Diptera Pupipara from bats of two large eastern Mediterranean islands, Crete and Cyprus. Turkish Journal of Zoology 37:31–37.;NA;collection of the first author (cMŠ);;;;;;;;;;;;;;;;;;
BFR112;Shapiro et al.;2016;Article;Shapiro, J. T., E. Barbier, and A. Monadjem. 2016. First Record of Streblidae, Raymondia alulata Speiser, 1908 (Diptera: Streblidae), in Swaziland and a Review of the Genus Raymondia and Their Hosts in Africa. Acta Chiropterologica 18:249–268.;NA;Federal University of Mato Grosso do Sul and the Federal University of Pernambuco (Universidade Federal de Pernambuco;;;;;;;;;;;;;;;;;;
BFR113;Sharifi et al.;2008;Article;Sharifi, M., F. Mozafari, N. Taghinezhad, and H. Javanbakht. 2008. Variation in Ectoparasite Load Reflects Life History Traits in the Lesser Mouse-eared Bat Myotis blythii (Chiroptera: Vespertilionidae) in Western Iran. Journal of Parasitology 94:622.;NA;NA;;;;;;;;;;;;;;;;;;
BFR114;Sharifi et al.;2013;Article;Sharifi, M., N. Taghinezhad, F. Mozafari, and S. Vaissi. 2013. Variation in ectoparasite load in the Mehely’s horseshoe bat, Rhinolophus mehelyi (Chiroptera: Rhinolophidae) in a nursery colony in western Iran. Acta Parasitologica 58:180–184.;NA;NA;;;;;;;;;;;;;;;;;;
BFR115;Shockley and Murray;2006;Article;Shockley, F. W., and K. L. Murray. 2006. Discovery of a Parasitoid and a Predator of Bat Flies (Diptera: Streblidae) at La Selva, Costa Rica. Biotropica 38:789–790.;entomology collection of the Georgia Museum of Natural History (UGCA) at the University of Georgia and Instituto Nacional de Biodiversidad, Costa Rica.;entomology collection of the Georgia Museum of Natural History (UGCA) at the University of Georgia and Instituto Nacional de Biodiversidad, Costa Rica.;;;;;;;;;;;;;;;;;;
BFR116;Silva and Ortencio Filho;2011;Article;Silva, J. R. R. da, and H. Ortêncio Filho. 2011. Dípteros ectoparasitas (Insecta, Diptera) em morcegos (Chiroptera, Mammalia) na Reserva Biológica das Perobas Paraná, Brasil. Iheringia. Série Zoologia 101:220–224.;NA;NA;;;;;;;;;;;;;;;;;;
BFR117;Silva et al.;2019;Article;Silva, S. S. P. da, Q. F. Neves, P. G. Guedes, J. C. de Almeida, and M. de C. Brasil-Sato. 2019. Diet and parasites of Lonchophylla inexpectata Moratelli & Dias, 2015 (Chiroptera, Lonchophyllinae) in the threatened Caatinga scrublands from Ceará (northeastern Brazil). Studies on Neotropical Fauna and Environment 54:107–113.;Adriano Lucio Peracchi Collection (ALP) at the Universidade Federal Rural do Rio de Janeiro (UFRRJ);NA;;;;;;;;;;;;;;;;;;
BFR118;Smit and Miller;2019;Article;"Smit, J. T., and J. Miller. 2019. Bat Ectoparasites from Sint Eustatius, Lesser Antilles (Diptera: Hippoboscidae: Streblinae; Hemiptera: Polyctenidae). Journal of Parasitology 105:45.";"Museum of Texas Tech University (TTU) and the University of Nebraska State Museum (UNSM), American Museum of Natural History (AMNH); Natural History Museum, University of Kansas (KU); and Museum of Comparative Zoology, Harvard University (MCZ)";NA;;;;;;;;;;;;;;;;;;
BFR119;Soares et al.;2016;Article;Soares, F. A. M., G. Graciolli, C. E. B. P. Ribeiro, R. S. Bandeira, J. A. T. Moreno, and S. F. Ferrari. 2016. Bat (Mammalia: Chiroptera) Diversity in an area of mangrove forest in Southern Pernambuco, Brazil, with a new species record and notes on ectoparasites (Diptera: Streblidae). Papéis Avulsos de Zoologia 56:63–68.;NA;Federal University of Mato Grosso do Sul in Campo Grande;;;;;;;;;;;;;;;;;;
BFR120;Soares et al.;2013;Article;Soares, F. A. M., G. Graciolli, D. M. C. Alcântara, C. E. B. P. Ribeiro, G. C. Valença, and S. F. Ferrari. 2013. Bat flies (Diptera: Streblidae) ectoparasites of bats at an Atlantic Rainforest site in northeastern Brazil. Biota Neotropica 13:242–246.;NA;Zoological reference collection of the Federal University of Mato Grosso do Sul in Campo Grande, Brazil;;;;;;;;;;;;;;;;;;
BFR121;Soares et al.;2017;Article;Soares, F. A. M., P. A. da Rocha, J. S. Mikalauskas, G. Graciolli, and S. F. Ferrari. 2017. Ectoparasitic bat flies (Diptera, Streblidae) of bats (Chiroptera, Mammalia) from Mata do Junco wildlife refuge, Sergipe, Northeastern Brazil. Oecologia Australis 21:385–395.;Adriano Lúcio Peracchi Collection, at the Biology Institute of the Federal Rural University of Rio de Janeiro, Brazil;Zoological Reference Collection of the Federal University of Mato Grosso do Sul, Campo Grande, Brazil.;;;;;;;;;;;;;;;;;;
BFR122;Orlova et al.;2015;Article;Orlova, M. V., A. V. Zhigalin, O. L. Orlov, S. V. Kruskop, and I. I. Bogdanov. 2015. Contribution to the ectoparasite fauna of rare and poor studied bat species of Southern Siberia. Biology Bulletin 42:254–259.;NA;the collection of the Tyumen State University Museum of Zoology (Tyumen, Russia);;;;;;;;;;;;;;;;;;
BFR123;Szentiványi et al.;2020;Article;Szentiványi, T., P. Estók, R. Pigeault, P. Christe, and O. Glaizot. 2020. Effects of fungal infection on the survival of parasitic bat flies. Parasites & Vectors 13:23.;NA;NA;;;;;;;;;;;;;;;;;;
BFR124;Szentiványi et al.;2018;Article;Szentiványi, T., D. Haelewaters, W. P. Pfliegler, L. Clément, P. Christe, and O. Glaizot. 2018. Laboulbeniales (Fungi: Ascomycota) infection of bat flies (Diptera: Nycteribiidae) from Miniopterus schreibersii across Europe. Parasites & Vectors 11:395.;NA;NA;Szentiványi, T., W. Markotter, M. Dietrich, L. Clément, L. Ançay, L. Brun, E. Genzoni, T. Kearney, E. Seamark, P. Estók, P. Christe, and O. Glaizot. 2020. Host conservation through their parasites: Molecular surveillance of vector-borne microorganisms in bats using ectoparasitic bat flies. Parasite 27.;;;;;;;;;;;;;;;;;
BFR125;Szentiványi et al.;2020;Article;Szentiványi, T., W. Markotter, M. Dietrich, L. Clément, L. Ançay, L. Brun, E. Genzoni, T. Kearney, E. Seamark, P. Estók, P. Christe, and O. Glaizot. 2020. Host conservation through their parasites: Molecular surveillance of vector-borne microorganisms in bats using ectoparasitic bat flies. Parasite 27.;NA;NA;Szentiványi, T., D. Haelewaters, W. P. Pfliegler, L. Clément, P. Christe, and O. Glaizot. 2018. Laboulbeniales (Fungi: Ascomycota) infection of bat flies (Diptera: Nycteribiidae) from Miniopterus schreibersii across Europe. Parasites & Vectors 11:395.;;;;;;;;;;;;;;;;;
BFR126;Tarquino-Carbonell et al.;2015;Article;Tarquino-Carbonell, A. P., K. A. Gutiérrez-Díaz, E. Y. Galindo-Espinosa, G. Reinoso-Flórez, S. Solari, and R. Guerrero. 2015. Ectoparasites associated with bats in northeastern Tolima, Colombia. Mastozoología Neotropical 22:349–358.;Zoological Collection of the University of Tolima (CZUT);"Zoological Collection of the University of Tolima (CZUT) 
";;;;;;;;;;;;;;;;;;
BFR127;Ter Hofstede et al.;2004;Article;ter Hofstede, H. M., M. B. Fenton, and J. O. Whitaker, Jr. 2004. Host and host-site specificity of bat flies (Diptera: Streblidae and Nycteribiidae) on Neotropical bats (Chiroptera). Canadian Journal of Zoology 82:616–626.;NA;NA;ter Hofstede, H. M., and M. B. Fenton. 2005. Relationships between roost preferences, ectoparasite density, and grooming behaviour of neotropical bats. Journal of Zoology 266:333–340.;;;;;;;;;;;;;;;;;
BFR128;Tlapaya-Romero et al.;2015;Article;Tlapaya-Romero, L., A. Horváth, S. Gallina-Tessaro, E. J. Naranjo, and B. Gómez. 2015. Prevalencia y abundancia de moscas parásitas asociadas a una comunidad de murciélagos cavernícolas en La Trinitaria, Chiapas, México. Revista Mexicana de Biodiversidad 86:377–385.;colección entomológica de ECOSUR, San Cristóbal de Las Casas, Chiapas (ECO-SC-E);NA;;;;;;;;;;;;;;;;;;
BFR129;Tlapaya-Romero et al.;2019;Article;Tlapaya-Romero, L., S. Ibáñez-Bernal, and A. Santos-Moreno. 2019. New records of bat flies (Diptera: Streblidae) in Oaxaca, Mexico. Revista Mexicana de Biodiversidad 90.;NA;the Insect Collection of the Instituto de Ecología, A.C. (IEXA), Xalapa, Veracruz, Mexico.;Tlapaya-Romero, L., A. Santos-Moreno, and S. Ibáñez-Bernal. 2021. Effect of seasonality and microclimate on the variation in bat-fly load (Diptera: Streblidae) in a cave bat assemblage in a dry forest. Mammalia 85:345–354.;;;;;;;;;;;;;;;;;
BFR130;Torres et al.;2019;Article;Torres, J. M., G. L. Urbieta, L. B. M. de Almeida, D. K. F. Soares, and E. A. C. dos Anjos. 2019. Moscas ectoparasitas (Diptera, Streblidae) de morcegos (Mammalia, Chiroptera) em um remanescente periurbano de Cerrado: composição da comunidade, prevalência, intensidade de infestação e especificidade. Iheringia. Série Zoologia 109:1–6.;coleção zoológica da Universidade Católica Dom Bosco (UCDB);NA;;;;;;;;;;;;;;;;;;
BFR131;Tortosa et al.;2013;Article;Tortosa, P., N. Dsouli, Y. Gomard, B. Ramasindrazana, C. W. Dick, and S. M. Goodman. 2013. Evolutionary History of Indian Ocean Nycteribiid Bat Flies Mirroring the Ecology of Their Hosts. PLoS ONE 8:e75215.;Field Museum of Natural History, Chicago, and the Universite´ d’Antananarivo, De´partement de Biologie Animale (UADBA), Antananarivo;Field Museum of Natural History, Chicago, and the Universite´ d’Antananarivo, De´partement de Biologie Animale (UADBA), Antananarivo;Wilkinson, D. A., O. Duron, C. Cordonin, Y. Gomard, B. Ramasindrazana, P. Mavingui, S. M. Goodman, and P. Tortosa. 2016. The Bacteriome of Bat Flies (Nycteribiidae) from the Malagasy Region: a Community Shaped by Host Ecology, Bacterial Transmission Mode, and Host-Vector Specificity. Applied and Environmental Microbiology 82:1778–1788.;;;;;;;;;;;;;;;;;
BFR132;Trujillo-Pahua and Ibañez-Bernal;2019;Article;Trujillo-Pahua, L., and S. Ibáñez-Bernal. 2019. New Geographical Records of Bat Flies (Diptera: Streblidae) Associated With Phyllostomid Bats (Chiroptera: Phyllostomidae) in the West Highlands of Mexico. Journal of Medical Entomology 56:18–28.;NA;Insect Collection of Instituto de Ecología, A. C. (IEXA) Xalapa, Veracruz, Mexico;;;;;;;;;;;;;;;;;;
