FlyPopulationCode;RefCode;SiteCode;FlyFamily;FlyGenus;FlySpecies;FlySubspecies;CurrentFlySpecies;FlyCaptureNumber;FlyFemales;FlyMales;FlyUndetermined;
BFFPOP0681;BFR026;BFA179;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;4;1;3;0;
BFFPOP0682;BFR026;BFA180;Streblidae;Speiseria;Speiseria ambigua;;Speiseria ambigua;2;0;2;0;
BFFPOP0683;BFR026;BFA180;Streblidae;Strebla;Strebla guajiro;;Strebla guajiro;1;1;0;0;
BFFPOP0684;BFR026;BFA180;Streblidae;Trichobius;Trichobius dugesii;;Trichobius dugesii;2;0;2;0;
BFFPOP0685;BFR026;BFA180;Streblidae;Trichobius;Trichobius flagellatus;;Trichobius flagellatus;5;3;2;0;
BFFPOP0686;BFR026;BFA180;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;13;5;8;0;
BFFPOP0687;BFR026;BFA180;Streblidae;Trichobius;Trichobius parasiticus;;Trichobius parasiticus;10;4;6;0;
BFFPOP0688;BFR026;BFA180;Streblidae;Aspidoptera;Aspidoptera delatorrei;;Aspidoptera delatorrei;3;1;2;0;
BFFPOP0689;BFR026;BFA180;Nycteribiidae;Basilia;Basilia ortizi;;Basilia ortizi;2;2;0;0;
BFFPOP0690;BFR026;BFA180;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;2;0;2;0;
BFFPOP0691;BFR026;BFA180;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;1;0;1;0;
BFFPOP0692;BFR026;BFA180;Streblidae;Speiseria;Speiseria ambigua;;Speiseria ambigua;1;0;1;0;
BFFPOP0693;BFR026;BFA180;Streblidae;Strebla;Strebla guajiro;;Strebla guajiro;1;0;1;0;
BFFPOP0694;BFR026;BFA180;Streblidae;Trichobius;Trichobius dugesioides;;Trichobius dugesioides;4;3;1;0;
BFFPOP0695;BFR026;BFA180;Streblidae;Trichobius;Trichobius flagellatus;;Trichobius flagellatus;11;4;7;0;
BFFPOP0696;BFR026;BFA180;Streblidae;Trichobius;Trichobius intermedius;;Trichobius intermedius;1;1;0;0;
BFFPOP0697;BFR026;BFA180;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;3;1;2;0;
BFFPOP0698;BFR026;BFA180;Streblidae;Trichobius;Trichobius sparsus;;Trichobius sparsus;4;3;1;0;
BFFPOP0699;BFR026;BFA180;Streblidae;Trichobius;Trichobius yunkeri;;Trichobius yunkeri;6;3;3;0;
BFFPOP0700;BFR026;BFA181;Streblidae;Aspidoptera;Aspidoptera delatorrei;;Aspidoptera delatorrei;1;0;1;0;
BFFPOP0701;BFR026;BFA181;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;1;1;0;0;
BFFPOP0702;BFR026;BFA181;Streblidae;Strebla;Strebla guajiro;;Strebla guajiro;1;0;1;0;
BFFPOP0703;BFR026;BFA181;Streblidae;Trichobius;Trichobius flagellatus;;Trichobius flagellatus;2;2;0;0;
BFFPOP0704;BFR026;BFA181;Streblidae;Trichobius;Trichobius intermedius;;Trichobius intermedius;2;1;1;0;
BFFPOP0705;BFR026;BFA181;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;1;1;0;0;
BFFPOP0706;BFR026;BFA182;Streblidae;Strebla;Strebla hertigi;;Strebla hertigi;4;2;1;1;
BFFPOP0707;BFR026;BFA182;Streblidae;Trichobius;Trichobius hirsutulus;;Trichobius hirsutulus;2;1;1;0;
BFFPOP0708;BFR026;BFA182;Streblidae;Trichobius;Trichobius johnsonae;;Trichobius johnsonae;3;1;2;0;
BFFPOP0709;BFR026;BFA182;Streblidae;Trichobius;Trichobius sparsus;;Trichobius sparsus;2;2;0;0;
BFFPOP0710;BFR026;BFA183;Streblidae;Aspidoptera;Aspidoptera delatorrei;;Aspidoptera delatorrei;2;0;2;0;
BFFPOP0711;BFR026;BFA183;Streblidae;Trichobius;Trichobius diphyllae;;Trichobius diphyllae;4;3;1;0;
BFFPOP0712;BFR026;BFA183;Streblidae;Trichobius;Trichobius hirsutulus;;Trichobius hirsutulus;4;1;3;0;
BFFPOP0713;BFR026;BFA183;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;2;1;1;0;
BFFPOP0714;BFR026;BFA183;Streblidae;Trichobius;Trichobius sp.;;Trichobius sp.;1;1;0;0;
BFFPOP0715;BFR026;BFA183;Streblidae;Trichobius;Trichobius uniformis;;Trichobius uniformis;4;1;3;0;
BFFPOP0716;BFR027;BFA184;Streblidae;Strebla;Strebla diphyllae;;Strebla diphyllae;2;1;1;0;
BFFPOP0717;BFR027;BFA184;Streblidae;Trichobius;Trichobius diphyllae;;Trichobius diphyllae;3;1;2;0;
BFFPOP0718;BFR027;BFA184;Streblidae;Trichobius;Trichobius intermedius;;Trichobius intermedius;1;1;0;0;
BFFPOP0719;BFR027;BFA184;Streblidae;Trichobius;Trichobius yunkeri;;Trichobius yunkeri;2;1;1;0;
BFFPOP0720;BFR027;BFA185;Streblidae;Aspidoptera;Aspidoptera delatorrei;;Aspidoptera delatorrei;1;1;0;0;
BFFPOP0721;BFR027;BFA185;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;9;6;3;0;
BFFPOP0722;BFR027;BFA185;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;3;2;1;0;
BFFPOP0723;BFR027;BFA185;Streblidae;Trichobius;Trichobius dugesii;;Trichobius dugesii;1;0;1;0;
BFFPOP0724;BFR027;BFA185;Streblidae;Trichobius;Trichobius intermedius;;Trichobius intermedius;1;1;0;0;
BFFPOP0725;BFR027;BFA185;Streblidae;Trichobius;Trichobius uniformis;;Trichobius uniformis;2;1;1;0;
BFFPOP0726;BFR027;BFA185;Streblidae;Trichobius;Trichobius yunkeri;;Trichobius yunkeri;4;3;1;0;
