InteractionSpeciesCode,BatPopulationCode,FlyPopulationCode,RefCode,SiteCode,CurrentBatSpecies,BatSubspecies,CurrentFlySpecies,FlySubspecies,NumberInteractions,NumberInteractionsByFlyFemales,NumberInteractionsByFlyMales,NumberInteractionsByFlyUndetermined,BatInfested,BatInfestedFemales,BatInfestedMales,Prevalence,PrevalenceOnBatFemales,PrevalenceOnBatMales,MeanFlyIntensity,MeanFlyIntensityOnBatFemales,MeanFlyIntensityOnBatMales,MeanFlyAbundance,MeanFlyAbundaceOnBatFemales,MeanFlyAbundanceOnBatMales,Observations
BFSSI0107,BFBPOP0085,BFFPOP0100,BFR004,BFA039,Sturnira sp.,NA,Megistopoda proxima,NA,7,4,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0108,BFBPOP0086,BFFPOP0101,BFR004,BFA039,Rhinophylla fischerae,NA,Neotrichobius delicatus,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0109,BFBPOP0087,BFFPOP0102,BFR004,BFA040,Molossus rufus,NA,Neotrichobius delicatus,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0110,BFBPOP0088,BFFPOP0103,BFR004,BFA041,Noctilio albiventris,NA,Neotrichobius delicatus,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0111,BFBPOP0088,BFFPOP0104,BFR004,BFA041,Noctilio albiventris,NA,Paradyschiria fusca,NA,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0112,BFBPOP0088,BFFPOP0105,BFR004,BFA041,Noctilio albiventris,NA,Paradyschiria parvula,NA,13,5,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0113,BFBPOP0089,BFFPOP0106,BFR004,BFA042,Artibeus lituratus,NA,Paratrichobius longicrus,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0114,BFBPOP0090,BFFPOP0107,BFR004,BFA043,Artibeus lituratus,NA,Paratrichobius longicrus,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0115,BFBPOP0091,BFFPOP0108,BFR004,BFA044,Platyrrhinus brachycephalus,NA,Strebla consocia,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0116,BFBPOP0092,BFFPOP0109,BFR004,BFA045,Desmodus rotundus,NA,Strebla wiedemanni,NA,3,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0117,BFBPOP0093,BFFPOP0110,BFR004,BFA045,Artibeus planirostris,NA,Aspidoptera phyllostomatis,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
