InteractionSpeciesCode,BatPopulationCode,FlyPopulationCode,RefCode,SiteCode,CurrentBatSpecies,BatSubspecies,CurrentFlySpecies,FlySubspecies,NumberInteractions,NumberInteractionsByFlyFemales,NumberInteractionsByFlyMales,NumberInteractionsByFlyUndetermined,BatInfested,BatInfestedFemales,BatInfestedMales,Prevalence,PrevalenceOnBatFemales,PrevalenceOnBatMales,MeanFlyIntensity,MeanFlyIntensityOnBatFemales,MeanFlyIntensityOnBatMales,MeanFlyAbundance,MeanFlyAbundaceOnBatFemales,MeanFlyAbundanceOnBatMales,Observations
BFSSI3315,BFBPOP1709,BFFPOP2410,BFR126,BFA384,Glossophaga soricina,NA,Trichobius uniformis,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3316,BFBPOP1710,BFFPOP2411,BFR126,BFA385,Carollia sowelli,NA,Trichobius joblingi,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3317,BFBPOP1711,BFFPOP2412,BFR126,BFA386,Anoura geoffroyi,NA,Exastinion clovisi,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3318,BFBPOP1712,BFFPOP2413,BFR126,BFA386,Artibeus intermedius,NA,Paratrichobius longicrus,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3319,BFBPOP1712,BFFPOP2414,BFR126,BFA386,Artibeus intermedius,NA,Trichobius parasiticus,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3320,BFBPOP1713,BFFPOP2415,BFR126,BFA387,Pteronotus parnellii,NA,Nycterophilia coxata,NA,358,164,193,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3321,BFBPOP1714,BFFPOP2416,BFR126,BFA387,Phyllostomus discolor,NA,Trichobioides perspicillatus,NA,18,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3322,BFBPOP1714,BFFPOP2417,BFR126,BFA387,Phyllostomus discolor,NA,Trichobius caecus,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3323,BFBPOP1713,BFFPOP2417,BFR126,BFA387,Pteronotus parnellii,NA,Trichobius caecus,NA,44,21,17,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3324,BFBPOP1714,BFFPOP2418,BFR126,BFA387,Phyllostomus discolor,NA,Trichobius costalimai,NA,31,10,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3325,BFBPOP1714,BFFPOP2419,BFR126,BFA387,Phyllostomus discolor,NA,Trichobius parasiticus,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3326,BFBPOP1715,BFFPOP2420,BFR126,BFA388,Phyllostomus hastatus,NA,Trichobius longipes,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3327,BFBPOP1716,BFFPOP2421,BFR126,BFA389,Phyllostomus discolor,NA,Trichobioides perspicillatus,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3328,BFBPOP1716,BFFPOP2422,BFR126,BFA389,Phyllostomus discolor,NA,Trichobius costalimai,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3329,BFBPOP1717,BFFPOP2423,BFR126,BFA389,Myotis keaysi,NA,Trichobius hirsutulus,NA,10,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3330,BFBPOP1718,BFFPOP2424,BFR126,BFA390,Myotis keaysi,NA,Anatrichobius scorzai,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3331,BFBPOP1719,BFFPOP2425,BFR126,BFA391,Anoura geoffroyi,NA,Exastinion clovisi,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3332,BFBPOP1720,BFFPOP2426,BFR126,BFA391,Phyllostomus discolor,NA,Strebla hertigi,NA,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3333,BFBPOP1720,BFFPOP2427,BFR126,BFA391,Phyllostomus discolor,NA,Trichobioides perspicillatus,NA,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3334,BFBPOP1720,BFFPOP2428,BFR126,BFA391,Phyllostomus discolor,NA,Trichobius costalimai,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3335,BFBPOP1721,BFFPOP2429,BFR126,BFA392,Sturnira ludovici,NA,Megistopoda theodori,NA,18,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3336,BFBPOP1722,BFFPOP2430,BFR126,BFA392,Desmodus rotundus,NA,Strebla wiedemanni,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3337,BFBPOP1723,BFFPOP2431,BFR126,BFA392,Natalus stramineus,NA,Trichobius galei,NA,6,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3338,BFBPOP1722,BFFPOP2432,BFR126,BFA392,Desmodus rotundus,NA,Trichobius parasiticus,NA,38,17,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3339,BFBPOP1724,BFFPOP2433,BFR126,BFA393,Glossophaga soricina,NA,Anastrebla modestini,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3340,BFBPOP1725,BFFPOP2434,BFR126,BFA394,Artibeus jamaicensis,NA,Megistopoda aranea,NA,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3341,BFBPOP1726,BFFPOP2435,BFR126,BFA395,Desmodus rotundus,NA,Strebla wiedemanni,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3342,BFBPOP1726,BFFPOP2436,BFR126,BFA395,Desmodus rotundus,NA,Trichobius parasiticus,NA,8,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3343,BFBPOP1727,BFFPOP2437,BFR126,BFA396,Sturnira ludovici,NA,Aspidoptera falcata,NA,15,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3344,BFBPOP1728,BFFPOP2438,BFR126,BFA396,Artibeus jamaicensis,NA,Megistopoda aranea,NA,7,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3345,BFBPOP1727,BFFPOP2439,BFR126,BFA396,Sturnira ludovici,NA,Megistopoda theodori,NA,29,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3346,BFBPOP1727,BFFPOP2440,BFR126,BFA396,Sturnira ludovici,NA,Paratrichobius longicrus,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3347,BFBPOP1729,BFFPOP2441,BFR126,BFA396,Carollia brevicauda,NA,Speiseria peytonae,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3348,BFBPOP1730,BFFPOP2442,BFR126,BFA396,Chrotopterus auritus,NA,Strebla chrotopteri,NA,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3349,BFBPOP1729,BFFPOP2443,BFR126,BFA396,Carollia brevicauda,NA,Strebla guajiro,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3350,BFBPOP1731,BFFPOP2444,BFR126,BFA396,Desmodus rotundus,NA,Strebla wiedemanni,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3351,BFBPOP1732,BFFPOP2445,BFR126,BFA396,Glossophaga commissarisi,NA,Trichobius dugesii,NA,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3352,BFBPOP1729,BFFPOP2446,BFR126,BFA396,Carollia brevicauda,NA,Trichobius joblingi,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3353,BFBPOP1731,BFFPOP2447,BFR126,BFA396,Desmodus rotundus,NA,Trichobius parasiticus,NA,41,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3354,BFBPOP1732,BFFPOP2448,BFR126,BFA396,Glossophaga commissarisi,NA,Trichobius uniformis,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3355,BFBPOP1733,BFFPOP2449,BFR126,BFA397,Glossophaga soricina,NA,Strebla curvata,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3356,BFBPOP1733,BFFPOP2450,BFR126,BFA397,Glossophaga soricina,NA,Strebla guajiro,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3357,BFBPOP1733,BFFPOP2451,BFR126,BFA397,Glossophaga soricina,NA,Trichobius dugesii,NA,6,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3358,BFBPOP1733,BFFPOP2452,BFR126,BFA397,Glossophaga soricina,NA,Trichobius uniformis,NA,8,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3359,BFBPOP1734,BFFPOP2453,BFR126,BFA398,Noctilio leporinus,NA,Aspidoptera falcata,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3360,BFBPOP1735,BFFPOP2453,BFR126,BFA398,Sturnira lilium,NA,Aspidoptera falcata,NA,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3361,BFBPOP1736,BFFPOP2454,BFR126,BFA398,Artibeus intermedius,NA,Megistopoda aranea,NA,7,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3362,BFBPOP1737,BFFPOP2454,BFR126,BFA398,Artibeus jamaicensis,NA,Megistopoda aranea,NA,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3363,BFBPOP1738,BFFPOP2455,BFR126,BFA398,Glossophaga soricina,NA,Megistopoda proxima,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3364,BFBPOP1735,BFFPOP2455,BFR126,BFA398,Sturnira lilium,NA,Megistopoda proxima,NA,7,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3365,BFBPOP1734,BFFPOP2456,BFR126,BFA398,Noctilio leporinus,NA,Noctiliostrebla traubi,NA,36,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3366,BFBPOP1739,BFFPOP2457,BFR126,BFA398,Pteronotus parnellii,NA,Nycterophilia coxata,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3367,BFBPOP1734,BFFPOP2458,BFR126,BFA398,Noctilio leporinus,NA,Paradyschiria fusca,NA,43,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3368,BFBPOP1740,BFFPOP2459,BFR126,BFA398,Noctilio albiventris,NA,Paradyschiria parvuloides,NA,10,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3369,BFBPOP1738,BFFPOP2460,BFR126,BFA398,Glossophaga soricina,NA,Paraeuctenodes longipes,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3370,BFBPOP1738,BFFPOP2461,BFR126,BFA398,Glossophaga soricina,NA,Strebla curvata,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3371,BFBPOP1739,BFFPOP2462,BFR126,BFA398,Pteronotus parnellii,NA,Trichobius caecus,NA,6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3372,BFBPOP1738,BFFPOP2463,BFR126,BFA398,Glossophaga soricina,NA,Trichobius dugesii,NA,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3373,BFBPOP1741,BFFPOP2464,BFR126,BFA398,Carollia sowelli,NA,Trichobius joblingi,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3374,BFBPOP1742,BFFPOP2465,BFR126,BFA398,Rhynchonycteris naso,NA,Trichobius parasiticus,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3375,BFBPOP1738,BFFPOP2466,BFR126,BFA398,Glossophaga soricina,NA,Trichobius uniformis,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3376,BFBPOP1743,BFFPOP2467,BFR126,BFA399,Sturnira lilium,NA,Megistopoda proxima,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3377,BFBPOP1744,BFFPOP2468,BFR126,BFA400,Sturnira ludovici,NA,Megistopoda theodori,NA,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3378,BFBPOP1745,BFFPOP2469,BFR126,BFA401,Myotis keaysi,NA,Anatrichobius scorzai,NA,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3379,BFBPOP1746,BFFPOP2470,BFR126,BFA402,Sturnira lilium,NA,Aspidoptera falcata,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3380,BFBPOP1746,BFFPOP2471,BFR126,BFA402,Sturnira lilium,NA,Megistopoda proxima,NA,10,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3381,BFBPOP1747,BFFPOP2472,BFR126,BFA402,Artibeus lituratus,NA,Paratrichobius longicrus,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3382,BFBPOP1748,BFFPOP2473,BFR126,BFA402,Desmodus rotundus,NA,Strebla wiedemanni,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3383,BFBPOP1749,BFFPOP2474,BFR126,BFA402,Phyllostomus discolor,NA,Trichobioides perspicillatus,NA,7,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3384,BFBPOP1749,BFFPOP2475,BFR126,BFA402,Phyllostomus discolor,NA,Trichobius costalimai,NA,27,11,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3385,BFBPOP1750,BFFPOP2476,BFR126,BFA402,Glossophaga soricina,NA,Trichobius dugesii,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3386,BFBPOP1750,BFFPOP2477,BFR126,BFA402,Glossophaga soricina,NA,Trichobius galei,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3387,BFBPOP1751,BFFPOP2478,BFR126,BFA402,Artibeus inopinatus,NA,Trichobius intermedius,NA,46,21,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3388,BFBPOP1747,BFFPOP2478,BFR126,BFA402,Artibeus lituratus,NA,Trichobius intermedius,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3389,BFBPOP1748,BFFPOP2479,BFR126,BFA402,Desmodus rotundus,NA,Trichobius parasiticus,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3390,BFBPOP1750,BFFPOP2480,BFR126,BFA402,Glossophaga soricina,NA,Trichobius uniformis,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3391,BFBPOP1752,BFFPOP2481,BFR126,BFA403,Phyllostomus discolor,NA,Strebla hertigi,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3392,BFBPOP1752,BFFPOP2482,BFR126,BFA403,Phyllostomus discolor,NA,Trichobioides perspicillatus,NA,6,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3393,BFBPOP1752,BFFPOP2483,BFR126,BFA403,Phyllostomus discolor,NA,Trichobius costalimai,NA,11,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3394,BFBPOP1753,BFFPOP2484,BFR126,BFA403,Glossophaga commissarisi,NA,Trichobius dugesii,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3395,BFBPOP1754,BFFPOP2484,BFR126,BFA403,Glossophaga leachii,NA,Trichobius dugesii,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3396,BFBPOP1755,BFFPOP2485,BFR126,BFA404,Glossophaga soricina,NA,Trichobius dugesii,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3397,BFBPOP1756,BFFPOP2486,BFR127,BFA405,Artibeus aequatorialis,NA,Neotrichobius delicatus,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3398,BFBPOP1757,BFFPOP2487,BFR127,BFA405,Anoura caudifer,NA,Strebla guajiro,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3399,BFBPOP1758,BFFPOP2488,BFR127,BFA406,Myotis keaysi,NA,Anatrichobius scorzai,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3400,BFBPOP1759,BFFPOP2489,BFR127,BFA407,Anoura geoffroyi,NA,Anastrebla modestini,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3401,BFBPOP1759,BFFPOP2490,BFR127,BFA407,Anoura geoffroyi,NA,Exastinion deceptivum,NA,14,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3402,BFBPOP1760,BFFPOP2491,BFR127,BFA407,Carollia castanea,NA,Paraeuctenodes similis,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3403,BFBPOP1761,BFFPOP2492,BFR127,BFA408,Anoura caudifer,NA,Anastrebla caudiferae,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3404,BFBPOP1762,BFFPOP2493,BFR127,BFA408,Sturnira lilium,NA,Megistopoda theodori,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3405,BFBPOP1763,BFFPOP2494,BFR127,BFA409,Carollia perspicillata,NA,Strebla guajiro,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3406,BFBPOP1764,BFFPOP2495,BFR127,BFA410,Anoura geoffroyi,NA,Anastrebla modestini,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3407,BFBPOP1765,BFFPOP2496,BFR127,BFA410,Myotis nigricans,NA,Anatrichobius scorzai,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3408,BFBPOP1764,BFFPOP2497,BFR127,BFA410,Anoura geoffroyi,NA,Exastinion deceptivum,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3409,BFBPOP1766,BFFPOP2498,BFR127,BFA410,Sturnira sp.,NA,Megistopoda theodori,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3410,BFBPOP1767,BFFPOP2498,BFR127,BFA410,Sturnira lilium,NA,Megistopoda theodori,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3411,BFBPOP1768,BFFPOP2499,BFR127,BFA410,Sturnira erythromos,NA,Trichobius petersoni,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3412,BFBPOP1766,BFFPOP2499,BFR127,BFA410,Sturnira sp.,NA,Trichobius petersoni,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3413,BFBPOP1769,BFFPOP2500,BFR127,BFA410,Anoura caudifer,NA,Trichobius tiptoni,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3414,BFBPOP1770,BFFPOP2501,BFR127,BFA411,Noctilio albiventris,NA,Paradyschiria fusca,NA,7,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3415,BFBPOP1771,BFFPOP2502,BFR127,BFA412,Noctilio leporinus,NA,Strebla guajiro,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3416,BFBPOP1772,BFFPOP2503,BFR127,BFA413,Sturnira sp.,NA,Megistopoda theodori,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3417,BFBPOP1773,BFFPOP2504,BFR127,BFA414,Choeroniscus sp.,NA,Anastrebla caudiferae,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3418,BFBPOP1773,BFFPOP2505,BFR127,BFA414,Choeroniscus sp.,NA,Strebla curvata,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3419,BFBPOP1774,BFFPOP2506,BFR128,BFA415,Myotis volans,NA,Basilia calverti,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3420,BFBPOP1775,BFFPOP2507,BFR129,BFA276,Carollia perspicillata,NA,Trichobius joblingi,NA,104,45,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3421,BFBPOP1775,BFFPOP2508,BFR129,BFA276,Carollia perspicillata,NA,Speiseria ambigua,NA,29,12,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3422,BFBPOP1775,BFFPOP2509,BFR129,BFA276,Carollia perspicillata,NA,Strebla guajiro,NA,8,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3423,BFBPOP1776,BFFPOP2510,BFR130,BFA416,Artibeus jamaicensis,NA,Aspidoptera busckii,NA,14,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3424,BFBPOP1777,BFFPOP2510,BFR130,BFA416,Phyllostomus hastatus,NA,Aspidoptera busckii,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3425,BFBPOP1778,BFFPOP2511,BFR130,BFA416,Sturnira lilium,NA,Aspidoptera delatorrei,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3426,BFBPOP1777,BFFPOP2512,BFR130,BFA416,Phyllostomus hastatus,NA,Mastoptera guimaraesi,NA,10,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3427,BFBPOP1776,BFFPOP2513,BFR130,BFA416,Artibeus jamaicensis,NA,Megistopoda aranea,NA,10,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3428,BFBPOP1776,BFFPOP2514,BFR130,BFA416,Artibeus jamaicensis,NA,Metelasmus pseudopterus,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3429,BFBPOP1779,BFFPOP2515,BFR130,BFA416,Dermanura phaeotis,NA,Neotrichobius stenopterus,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3430,BFBPOP1780,BFFPOP2516,BFR130,BFA416,Uroderma bilobatum,NA,Paratrichobius dunni,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3431,BFBPOP1781,BFFPOP2517,BFR130,BFA416,Chiroderma salvini,NA,Paratrichobius salvini,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3432,BFBPOP1782,BFFPOP2518,BFR130,BFA416,Carollia perspicillata,NA,Speiseria ambigua,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3433,BFBPOP1783,BFFPOP2518,BFR130,BFA416,Carollia castanea,NA,Speiseria ambigua,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3434,BFBPOP1783,BFFPOP2519,BFR130,BFA416,Carollia castanea,NA,Strebla carolliae,NA,7,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3435,BFBPOP1782,BFFPOP2519,BFR130,BFA416,Carollia perspicillata,NA,Strebla carolliae,NA,9,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3436,BFBPOP1777,BFFPOP2520,BFR130,BFA416,Phyllostomus hastatus,NA,Strebla mirabilis,NA,25,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI3437,BFBPOP1783,BFFPOP2521,BFR130,BFA416,Carollia castanea,NA,Trichobius jonblingi,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
