RefCode,Author,Year,Type,Reference,BatVouchers,FlyVouchers,AssociatedReferences
BFR129,Fritz,1983,Article,"Fritz, G. N. 1983. Biology and ecology of bat flies (Diptera: Streblidae) on bats in the genus Carollia. Journal of Medical Entomology 20:1–10.",NA,NA,NA
BFR130,González et al,2004,Article,"González D., P. E., A. Santos M., and R. J. Miranda. 2004. Streblidae (Diptera: Pupipara) Ectoparásitos de murciélagos, en las tierras bajas del Parque Nacional Darién, Provincia Darién, Panama. Tecnociencia 6:161–171.",NA,NA,NA
BFR131,Claps et al,2005,Article,"Claps, G. L., A. G. Autino, and R. M. Barquez. 2005. Streblidae de murciélagos de Lima : dos citas nuevas para Per. Revista de la Sociedad Entomológica Argentina 64:95–98.",NA,NA,NA
BFR132,Bradshaw & Ross,1961,Article,"Bradshaw, G. V. R., and A. Ross. 1961. Ectoparasites of Arizona Bats. Journal of the Arizona Academy of Science 1:109.",NA,NA,NA
BFR133,Gonzalez-Avalos et al.,2014,Article,"González-Ávalos, C., D. A. Macías-Díaz, A. Macip-Castañeda, A. Mendez-Andrade, K. P. Ortiz-García, and K. D. Rivera-García. 2014. Ectoparásitos (Diptera: Streblidae) asociados a Desmodus rotundus en el sur del estado de Puebla, México. Entomología Mexicana 1:973–977.",NA,NA,NA
BFR134,Guimarães,1966,Article,"Guimarães, L. R. 1966. Nycteribiid Baflies from Panama (Diptera: Nycteribiidae). Pages 393–404 in R. L. Wenzel and V. J. Tipton, editors. Ectoparasites of Panama. Field Museum of Natural History, Chicago, IL.",NA,"Chicago Natural History Museum and Departamento de Zoologia, Secretaria de Agricultura, São Paulo, Brazil
",NA
BFR135,Guimarães,1972,Article,"Guimarães, L. R. 1972. Venezuelan Nycteribiid batflies (Diptera: Nycteribiidae). Brigham Young University science bulletin. 17:1–11.",NA,NA,NA
BFR136,Guimarães,1977,Article,"Guimarães, L. R. 1977. Supplementary note on Venezuelan bat flies (Diptera: Nycteribiidae). Western North American Naturalist 37:221–224.",NA,NA,NA
BFR137,Guimarães,1937,Article,"Guimarães, L. R. 1937. Sobre as espécies Sul Americanas do Género Trichobius (Diptera-Streblidae). Revista do Museu Paulista 23:653–666.",NA,NA,NA
BFR138,Herrera & Jara ,2008,Article,"Herrera, N. I., and C. A. Jara. 2008. Registro de Trichobius ( Diptera : Streblidae ) en murciélagos de Amazonas , Perú. Rebiol 28:4.",NA,NA,NA
BFR139,Hoffman,1953,Article,"Hoffmann, A. 1953. Estado actual del conocimiento de los estreblidos mexicanos. (Diptera: Pupipara). Pages 175–193 Memorias del Congreso Científico Mexicano VII: Ciencias Biológicaas. Universidad Nacional Autónoma de México, Ciudad de Mexico.",NA,NA,NA
BFR140,Lievano-Romero et al,2019,Article,"Liévano-Romero, K. S., M. E. Rodríguez-Posada, and J. A. Cortés-Vecino. 2019. NUEVOS REGISTROS DE ECTOPARÁSITOS DE MURCIÉLAGOS EN SABANAS INUNDABLES DE LA ORINOQUÍA COLOMBIANA. Mastozoología Neotropical 26:377–389.",NA,NA,NA
BFR141,Maa,1968,Article,"Maa, T. C. 1968. NEW BASILIA SPECIES FROM THAILAND , MEXICO AND BRAZIL (Diptera: Nycteribiidae). Pacific Insects 10:25–32.",NA,NA,NA
BFR142,Menezes-Junior et al,2021,Article,"Menezes Júnior, L. F., D. M. C. Santos, A. C. D. P. Menezes, and A. L. Peracchi. 2021. Ectoparasitic flies (Diptera: Streblidae) on bats (Mammalia: Chiroptera) from a Private Natural Heritage Reserve in southeastern Brazil. Papéis Avulsos de Zoologia 61:e20216102.",NA,NA,NA
BFR143,Moreno-Valdez,1998,Article,"Moreno-Valdez, A. 1998. Mamiferos del Cañon de Huajuco, municipio de Santiago, Nuevo Leon, Mexico. Revista Mexicana de Mastozoología 3:5–25.",NA,NA,NA
BFR144,Morse et al.,2012,Article,"Morse, S. F., C. W. Dick, B. D. Patterson, and K. Dittmar. 2012. Some Like It Hot: Evolution and Ecology of Novel Endosymbionts in Bat Flies of Cave-Roosting Bats (Hippoboscoidea, Nycterophiliinae). Applied and Environmental Microbiology 78:8639–8649.",NA,NA,NA
