assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
21980500,19531,Rhinolophus clivosus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,clivosus,,,,"Cretzschmar, 1828",Least Concern,,3.1,Unknown,Global
21980746,19532,Rhinolophus coelophyllus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,coelophyllus,,,,"Peters, 1867",Least Concern,,3.1,Stable,Global
21980883,19529,Rhinolophus capensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,capensis,,,,"Lichtenstein, 1823",Least Concern,,3.1,Stable,Global
21980994,19530,Rhinolophus celebensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,celebensis,,,,"K. Andersen, 1905",Least Concern,,3.1,Unknown,Global
21981114,17618,Plerotes anchietae,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Plerotes,anchietae,,,,"(de Seabra, 1900)",Least Concern,,3.1,Unknown,Global
21981234,4321,Chaerephon tomensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,MOLOSSIDAE,Chaerephon,tomensis,,,,"(Juste &amp; Ibáñez, 1993)",Endangered,B1ab(iii),3.1,Decreasing,Global
21981386,136524,Eptesicus chiriquinus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Eptesicus,chiriquinus,,,,"Simmons &amp; Voss, 1998",Least Concern,,3.1,Unknown,Global
21981495,19535,Rhinolophus creaghi,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,creaghi,,,,"Thomas, 1896",Least Concern,,3.1,Decreasing,Global
21981665,67369483,Rhinolophus darlingi,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,darlingi,,,,"K. Andersen, 1905",Least Concern,,3.1,Unknown,Global
21981807,19533,Rhinolophus cognatus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,cognatus,,,,"K. Andersen, 1906",Endangered,B2ab(iv),3.1,Decreasing,Global
21981963,19523,Rhinolophus alcyone,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,alcyone,,,,"Temminck, 1852",Least Concern,,3.1,Unknown,Global
21982137,136519,Notopteris neocaledonica,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Notopteris,neocaledonica,,,,"Trouessart, 1908",Endangered,"B1ab(i,ii,iii,v); C1",3.1,Decreasing,Global
21982298,19521,Rhinolophus adami,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,adami,,,,"Aellen &amp; Brosset, 1968",Data Deficient,,3.1,Unknown,Global
21982358,19522,Rhinolophus affinis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,affinis,,,,"Horsfield, 1823",Least Concern,,3.1,Stable,Global
21982599,19527,Rhinolophus borneensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,borneensis,,,,"Peters, 1861",Least Concern,,3.1,Unknown,Global
21982777,6520,Diaemus youngi,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Diaemus,youngi,,,,"(Jentink, 1893)",Least Concern,,3.1,Unknown,Global
21982962,19528,Rhinolophus canuti,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,canuti,,,,"Thomas &amp; Wroughton, 1909",Vulnerable,C1,3.1,Decreasing,Global
21983371,84372137,Rhinolophus arcuatus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,arcuatus,,,,"Peters, 1871",Data Deficient,,3.1,Stable,Global
21983564,19526,Rhinolophus bocharicus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,bocharicus,,,,"Kastschenko &amp; Akimov, 1917",Least Concern,,3.1,Stable,Global
21983677,136441,Nyctimene keasti,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Nyctimene,keasti,,,,"Kitchener in Kitchener, Packer &amp; Maryanto, 1993",Near Threatened,A2c,3.1,Decreasing,Global
