SiteCode,RefCode,Country,State,Municipality,Locality,Latitude,Longitude,Precision,Vegetation,VegType,Ecoregion,Domain,Elevation,1kmAlt,MeanAnnTemp,MeanAnnRain
BFA048,BFR004,Peru,Loreto,Maynas,"Moralillo, 2 km E of km 15.2 of lquitos-Nauta Highway (District of San Juan)",-3.90947,-73.33796667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,104,26.5,2793
BFA049,BFR004,Peru,Loreto,Maynas,"Ninarumi, 7.4 km W of km 6 of Iquitos-Nauta Highway (District of San Juan)",-3.84172,-73.38078333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,94,26.4,2829
BFA050,BFR004,Peru,Loreto,Maynas,"Ninarumi, 7.4 km W, I km SE of km 6 of Iquitos-Nauta Highway (District of San Juan) ",-3.84983,-73.37393333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,105,26.4,2832
BFA051,BFR004,Peru,Loreto,Maynas,Padrecocha (town) (District of Punchana),-3.69658,-73.28311667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,101,26.4,2864
BFA052,BFR004,Peru,Loreto,Maynas,"Paujil, W km 37.45 of Iquitos-Nauta Highway (District of San Juan)",-4.05878,-73.44225,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,123,26.4,2690
BFA053,BFR004,Peru,Loreto,Maynas,"Peña Negra, 200 m E of km 10.7 of Iquitos-Nauta Highway (District of San Juan)",-3.86615,-73.33295,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,112,26.4,2824
BFA054,BFR004,Peru,Loreto,Maynas,"Peña Negra, 600 m W of km 10 of Iquitos-Nauta Highway (District of San Juan)",-3.85537,-73.34515,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,112,26.4,2836
BFA055,BFR004,Peru,Loreto,Maynas,"Peña Negra, 800 m E of km 11 of Iquitos-Nauta Highway (District of San Juan)",-3.87327,-73.33555,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,121,26.4,2824
BFA056,BFR004,Peru,Loreto,Maynas,"Recreo, Begonias street (District of San Juan)",-3.78082,-73.289,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,104,26.5,2848
BFA057,BFR004,Peru,Loreto,Maynas,"Road to El Paujil, 1.8 km W of km 35 of Iquitos-Nauta Highway (District of San Juan)",-4.02028,-73.44645,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,132,26.3,2721
BFA058,BFR004,Peru,Loreto,Maynas,"San Lucas, W km 43 of Iquitos-Nauta Highway (District of San Juan)",-4.10412,-73.46318333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,115,26.4,2660
