SiteCode,RefCode,YearStart,YearFinish,Duration,SamplingEffort,BatEcologicalScale,FlyEcologicalScale,BatSamplingMethod,SamplingNights,SamplingHours,SamplingMistnets,SamplingStrata,SamplingSeason,Observation
BFA215,BFR051,NA,NA,NA,215654.4,all,all,mist nets,8,6,6,U,NA,NA
BFA216,BFR052,2008,2010,24,NA,Single,Single,"extendable poles, harp traps",NA,NA,NA,NA,NA,NA
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA217,BFR053,2013,2018,NA,NA,all,all,mist nets,NA,NA,NA,NA,NA,Authors stated that records corresponding to possible accidental contamination were removed
